año,trimestre,total internet,total tel fija,total tel movil,total tv paga
2022,2,10.958684,7.633074,59.502291,9.712221
2022,1,10.624009,7.664854,59.402581,9.614455
2021,4,10.489794,7.626355,59.065827,9.606975
2021,3,10.085541,7.003303,57.812509,9.824463
2021,2,9.863084,7.081716,56.875562,9.6591
2021,1,9.647972,7.200461,56.453033,9.608803
2020,4,9.571562,7.364032,54.7639,9.652873
2020,3,9.356199,7.432548,54.619886,9.781104
2020,2,9.031056,7.463257,55.050723,9.677866
2020,1,8.812426,7.55563,55.61281,9.678679
2019,4,8.793181,7.762812,55.930914,9.756057
2019,3,9.164684,7.892689,56.275726,9.617617
2019,2,8.960181,8.129983,57.596091,9.508886
2019,1,8.648135,8.3274,58.606442,9.444815
2018,4,8.473655,9.805917,58.598041,9.38653
2018,3,8.347035,9.694988,58.841136,9.580256
2018,2,8.110444,9.703699,59.466393,9.433588
2018,1,8.037053,9.666921,60.571796,9.399078
2017,4,7.870222,10.260812,61.897379,9.388345
2017,3,7.724943,10.130489,62.230809,9.359571
2017,2,7.429664,10.379749,62.898758,9.342742
2017,1,7.305854,10.239381,63.026122,9.134736
2016,4,7.251673,10.260812,63.719805,9.215832
2016,3,7.20695,10.130489,63.579339,9.166924
2016,2,7.130079,10.379749,62.122521,9.176667
2016,1,6.907356,10.239381,61.486761,9.044967
2015,4,6.984831,9.975798,61.842011,9.043712
2015,3,6.935068,10.050617,60.732511,9.074689
2015,2,6.816188,9.99119,59.875466,9.04279
2015,1,6.737732,10.086221,60.221863,8.90483
