año;trimestre;provincia;poblacion;;
2022;3;Buenos Aires;17,57;;
2022;3;Capital Federal;3,12;;
2022;3;Catamarca;0,43;;
2022;3;Chaco;1,14;;
2022;3;Chubut;0,60;;
2022;3;Córdoba;3,98;;
2022;3;Corrientes;1,20;;
2022;3;Entre Ríos;1,43;;
2022;3;Formosa;0,61;;
2022;3;Jujuy;0,80;;
2022;3;La Pampa;0,37;;
2022;3;La Rioja;0,38;;
2022;3;Mendoza;2,01;;
2022;3;Misiones;1,28;;
2022;3;Neuquén;0,73;;
2022;3;Río Negro;0,76;;
2022;3;Salta;1,44;;
2022;3;San Juan;0,82;;
2022;3;San Luis;0,54;;
2022;3;Santa Cruz;0,33;;
2022;3;Santa Fe;3,56;;
2022;3;Santiago Del Estero;1,05;;
2022;3;Tierra Del Fuego;0,19;;
2022;3;Tucumán;1,70;;
2022;2;Buenos Aires;17,57;;
2022;2;Capital Federal;3,12;;
2022;2;Catamarca;0,43;;
2022;2;Chaco;1,14;;
2022;2;Chubut;0,60;;
2022;2;Córdoba;3,98;;
2022;2;Corrientes;1,20;;
2022;2;Entre Ríos;1,43;;
2022;2;Formosa;0,61;;
2022;2;Jujuy;0,80;;
2022;2;La Pampa;0,37;;
2022;2;La Rioja;0,38;;
2022;2;Mendoza;2,01;;
2022;2;Misiones;1,28;;
2022;2;Neuquén;0,73;;
2022;2;Río Negro;0,76;;
2022;2;Salta;1,44;;
2022;2;San Juan;0,82;;
2022;2;San Luis;0,54;;
2022;2;Santa Cruz;0,33;;
2022;2;Santa Fe;3,56;;
2022;2;Santiago Del Estero;1,05;;
2022;2;Tierra Del Fuego;0,19;;
2022;2;Tucumán;1,70;;
2022;1;Buenos Aires;17,57;;
2022;1;Capital Federal;3,12;;
2022;1;Catamarca;0,43;;
2022;1;Chaco;1,14;;
2022;1;Chubut;0,60;;
2022;1;Córdoba;3,98;;
2022;1;Corrientes;1,20;;
2022;1;Entre Ríos;1,43;;
2022;1;Formosa;0,61;;
2022;1;Jujuy;0,80;;
2022;1;La Pampa;0,37;;
2022;1;La Rioja;0,38;;
2022;1;Mendoza;2,01;;
2022;1;Misiones;1,28;;
2022;1;Neuquén;0,73;;
2022;1;Río Negro;0,76;;
2022;1;Salta;1,44;;
2022;1;San Juan;0,82;;
2022;1;San Luis;0,54;;
2022;1;Santa Cruz;0,33;;
2022;1;Santa Fe;3,56;;
2022;1;Santiago Del Estero;1,05;;
2022;1;Tierra Del Fuego;0,19;;
2022;1;Tucumán;1,70;;
2021;4;Buenos Aires;17,56;;
2021;4;Capital Federal;2,89;;
2021;4;Catamarca;0,37;;
2021;4;Chaco;1,18;;
2021;4;Chubut;0,59;;
2021;4;Córdoba;3,72;;
2021;4;Corrientes;1,13;;
2021;4;Entre Ríos;1,39;;
2021;4;Formosa;0,62;;
2021;4;Jujuy;0,79;;
2021;4;La Pampa;0,35;;
2021;4;La Rioja;0,38;;
2021;4;Mendoza;1,91;;
2021;4;Misiones;1,12;;
2021;4;Neuquén;0,68;;
2021;4;Río Negro;0,77;;
2021;4;Salta;1,35;;
2021;4;San Juan;0,73;;
2021;4;San Luis;0,49;;
2021;4;Santa Cruz;0,27;;
2021;4;Santa Fe;3,54;;
2021;4;Santiago Del Estero;1,08;;
2021;4;Tierra Del Fuego;0,15;;
2021;4;Tucumán;1,65;;
2021;3;Buenos Aires;17,56;;
2021;3;Capital Federal;2,89;;
2021;3;Catamarca;0,37;;
2021;3;Chaco;1,18;;
2021;3;Chubut;0,59;;
2021;3;Córdoba;3,72;;
2021;3;Corrientes;1,13;;
2021;3;Entre Ríos;1,39;;
2021;3;Formosa;0,62;;
2021;3;Jujuy;0,79;;
2021;3;La Pampa;0,35;;
2021;3;La Rioja;0,38;;
2021;3;Mendoza;1,91;;
2021;3;Misiones;1,12;;
2021;3;Neuquén;0,68;;
2021;3;Río Negro;0,77;;
2021;3;Salta;1,35;;
2021;3;San Juan;0,73;;
2021;3;San Luis;0,49;;
2021;3;Santa Cruz;0,27;;
2021;3;Santa Fe;3,54;;
2021;3;Santiago Del Estero;1,08;;
2021;3;Tierra Del Fuego;0,15;;
2021;3;Tucumán;1,65;;
2021;2;Buenos Aires;17,56;;
2021;2;Capital Federal;2,89;;
2021;2;Catamarca;0,37;;
2021;2;Chaco;1,18;;
2021;2;Chubut;0,59;;
2021;2;Córdoba;3,72;;
2021;2;Corrientes;1,13;;
2021;2;Entre Ríos;1,39;;
2021;2;Formosa;0,62;;
2021;2;Jujuy;0,79;;
2021;2;La Pampa;0,35;;
2021;2;La Rioja;0,38;;
2021;2;Mendoza;1,91;;
2021;2;Misiones;1,12;;
2021;2;Neuquén;0,68;;
2021;2;Río Negro;0,77;;
2021;2;Salta;1,35;;
2021;2;San Juan;0,73;;
2021;2;San Luis;0,49;;
2021;2;Santa Cruz;0,27;;
2021;2;Santa Fe;3,54;;
2021;2;Santiago Del Estero;1,08;;
2021;2;Tierra Del Fuego;0,15;;
2021;2;Tucumán;1,65;;
2021;1;Buenos Aires;17,56;;
2021;1;Capital Federal;2,89;;
2021;1;Catamarca;0,37;;
2021;1;Chaco;1,18;;
2021;1;Chubut;0,59;;
2021;1;Córdoba;3,72;;
2021;1;Corrientes;1,13;;
2021;1;Entre Ríos;1,39;;
2021;1;Formosa;0,62;;
2021;1;Jujuy;0,79;;
2021;1;La Pampa;0,35;;
2021;1;La Rioja;0,38;;
2021;1;Mendoza;1,91;;
2021;1;Misiones;1,12;;
2021;1;Neuquén;0,68;;
2021;1;Río Negro;0,77;;
2021;1;Salta;1,35;;
2021;1;San Juan;0,73;;
2021;1;San Luis;0,49;;
2021;1;Santa Cruz;0,27;;
2021;1;Santa Fe;3,54;;
2021;1;Santiago Del Estero;1,08;;
2021;1;Tierra Del Fuego;0,15;;
2021;1;Tucumán;1,65;;
2020;4;Buenos Aires;17,44;;
2020;4;Capital Federal;2,89;;
2020;4;Catamarca;0,37;;
2020;4;Chaco;1,16;;
2020;4;Chubut;0,58;;
2020;4;Córdoba;3,69;;
2020;4;Corrientes;1,12;;
2020;4;Entre Ríos;1,38;;
2020;4;Formosa;0,62;;
2020;4;Jujuy;0,78;;
2020;4;La Pampa;0,35;;
2020;4;La Rioja;0,37;;
2020;4;Mendoza;1,88;;
2020;4;Misiones;1,11;;
2020;4;Neuquén;0,67;;
2020;4;Río Negro;0,76;;
2020;4;Salta;1,34;;
2020;4;San Juan;0,72;;
2020;4;San Luis;0,48;;
2020;4;Santa Cruz;0,27;;
2020;4;Santa Fe;3,5;;
2020;4;Santiago Del Estero;1,07;;
2020;4;Tierra Del Fuego;0,15;;
2020;4;Tucumán;1,64;;
2020;3;Buenos Aires;17,44;;
2020;3;Capital Federal;2,89;;
2020;3;Catamarca;0,37;;
2020;3;Chaco;1,16;;
2020;3;Chubut;0,58;;
2020;3;Córdoba;3,69;;
2020;3;Corrientes;1,12;;
2020;3;Entre Ríos;1,38;;
2020;3;Formosa;0,62;;
2020;3;Jujuy;0,78;;
2020;3;La Pampa;0,35;;
2020;3;La Rioja;0,37;;
2020;3;Mendoza;1,88;;
2020;3;Misiones;1,11;;
2020;3;Neuquén;0,67;;
2020;3;Río Negro;0,76;;
2020;3;Salta;1,34;;
2020;3;San Juan;0,72;;
2020;3;San Luis;0,48;;
2020;3;Santa Cruz;0,27;;
2020;3;Santa Fe;3,5;;
2020;3;Santiago Del Estero;1,07;;
2020;3;Tierra Del Fuego;0,15;;
2020;3;Tucumán;1,64;;
2020;2;Buenos Aires;17,44;;
2020;2;Capital Federal;2,89;;
2020;2;Catamarca;0,37;;
2020;2;Chaco;1,16;;
2020;2;Chubut;0,58;;
2020;2;Córdoba;3,69;;
2020;2;Corrientes;1,12;;
2020;2;Entre Ríos;1,38;;
2020;2;Formosa;0,62;;
2020;2;Jujuy;0,78;;
2020;2;La Pampa;0,35;;
2020;2;La Rioja;0,37;;
2020;2;Mendoza;1,88;;
2020;2;Misiones;1,11;;
2020;2;Neuquén;0,67;;
2020;2;Río Negro;0,76;;
2020;2;Salta;1,34;;
2020;2;San Juan;0,72;;
2020;2;San Luis;0,48;;
2020;2;Santa Cruz;0,27;;
2020;2;Santa Fe;3,5;;
2020;2;Santiago Del Estero;1,07;;
2020;2;Tierra Del Fuego;0,15;;
2020;2;Tucumán;1,64;;
2020;1;Buenos Aires;17,44;;
2020;1;Capital Federal;2,89;;
2020;1;Catamarca;0,37;;
2020;1;Chaco;1,16;;
2020;1;Chubut;0,58;;
2020;1;Córdoba;3,69;;
2020;1;Corrientes;1,12;;
2020;1;Entre Ríos;1,38;;
2020;1;Formosa;0,62;;
2020;1;Jujuy;0,78;;
2020;1;La Pampa;0,35;;
2020;1;La Rioja;0,37;;
2020;1;Mendoza;1,88;;
2020;1;Misiones;1,11;;
2020;1;Neuquén;0,67;;
2020;1;Río Negro;0,76;;
2020;1;Salta;1,34;;
2020;1;San Juan;0,72;;
2020;1;San Luis;0,48;;
2020;1;Santa Cruz;0,27;;
2020;1;Santa Fe;3,5;;
2020;1;Santiago Del Estero;1,07;;
2020;1;Tierra Del Fuego;0,15;;
2020;1;Tucumán;1,64;;
2019;4;Buenos Aires;17,22;;
2019;4;Capital Federal;2,89;;
2019;4;Catamarca;0,37;;
2019;4;Chaco;1,15;;
2019;4;Chubut;0,57;;
2019;4;Córdoba;3,63;;
2019;4;Corrientes;1,11;;
2019;4;Entre Ríos;1,31;;
2019;4;Formosa;0,6;;
2019;4;Jujuy;0,76;;
2019;4;La Pampa;0,35;;
2019;4;La Rioja;0,37;;
2019;4;Mendoza;1,81;;
2019;4;Misiones;1,1;;
2019;4;Neuquén;0,66;;
2019;4;Río Negro;0,73;;
2019;4;Salta;1,31;;
2019;4;San Juan;0,7;;
2019;4;San Luis;0,47;;
2019;4;Santa Cruz;0,27;;
2019;4;Santa Fe;3,48;;
2019;4;Santiago Del Estero;1,05;;
2019;4;Tierra Del Fuego;0,15;;
2019;4;Tucumán;1,58;;
2019;3;Buenos Aires;17,22;;
2019;3;Capital Federal;2,89;;
2019;3;Catamarca;0,37;;
2019;3;Chaco;1,15;;
